Firmware_Version=1.8;Sensor_Type=TYPE_SEABIRD_SBE37;Slot=9;SensorId=2;
DATE;TIME;TEMPERATURE;CONDUCTIVITY;PRESSION;SALINITY;SOUND SPEED;
 ; ;°C;S/m;dbars;PSU;m/sec;
13/07/2017;10:15:00;26.3099;0.01501;-0.747;0.0728;1500.210;
13/07/2017;10:30:00;26.8601;0.01519;-1.023;0.0730;1501.611;
13/07/2017;10:45:00;27.0023;0.01529;-0.818;0.0733;1501.974;
13/07/2017;11:00:00;27.0512;0.01537;-0.780;0.0736;1502.098;
13/07/2017;11:15:00;27.3499;0.01543;-0.786;0.0735;1502.847;
13/07/2017;11:30:00;28.2603;0.01562;-0.976;0.0733;1505.087;
13/07/2017;11:45:00;28.9113;0.01575;-0.894;0.0731;1506.656;
13/07/2017;12:00:00;29.0058;0.01576;-0.838;0.0730;1506.881;
13/07/2017;12:15:00;29.2769;0.01585;-0.783;0.0731;1507.524;
13/07/2017;12:30:00;29.8832;0.01601;-0.793;0.0731;1508.941;
13/07/2017;12:45:00;30.1047;0.01605;-0.679;0.0730;1509.454;
16/07/2017;15:44:59;32.1666;0.00395;-0.773;0.0252;1513.994;
16/07/2017;16:00:00;32.7647;0.00394;-0.957;0.0251;1515.269;
16/07/2017;16:15:00;34.0952;0.00396;-1.169;0.0252;1518.023;
16/07/2017;16:30:00;34.2032;0.00399;-1.041;0.0252;1518.244;
16/07/2017;16:45:00;34.8237;0.00396;-1.027;0.0252;1519.486;
16/07/2017;17:00:00;33.2643;0.00388;-0.676;0.0249;1516.323;
16/07/2017;17:15:00;35.6645;0.00387;-1.123;0.0248;1521.127;
16/07/2017;17:30:00;36.6867;0.00385;-1.147;0.0248;1523.061;
16/07/2017;17:45:00;36.0814;0.00375;-0.902;0.0245;1521.927;
16/07/2017;18:00:00;33.2542;0.00370;-0.402;0.0243;1516.306;
16/07/2017;18:15:00;30.2321;0.00356;0.130;0.0238;1509.706;
16/07/2017;18:30:00;28.8528;0.00342;0.194;0.0233;1506.479;
16/07/2017;18:45:00;27.9428;0.00335;0.041;0.0231;1504.273;
16/07/2017;19:00:00;27.5310;0.00331;-0.206;0.0229;1503.252;
16/07/2017;19:15:01;27.1500;0.00324;-0.272;0.0226;1502.298;
16/07/2017;19:30:00;26.7790;0.00316;-0.361;0.0223;1501.359;
16/07/2017;19:45:00;26.4125;0.00310;-0.399;0.0221;1500.423;
16/07/2017;20:00:00;26.1704;0.00305;-0.427;0.0219;1499.798;
16/07/2017;20:15:00;25.8832;0.00301;-0.487;0.0217;1499.052;
16/07/2017;20:30:00;25.5384;0.00298;-0.455;0.0216;1498.149;
16/07/2017;20:45:00;25.4541;0.00296;-0.514;0.0215;1497.925;
16/07/2017;21:00:00;25.3867;0.00296;-0.550;0.0215;1497.747;
16/07/2017;21:15:00;25.1778;0.00294;-0.523;0.0214;1497.193;
16/07/2017;21:30:00;25.0221;0.00294;-0.538;0.0214;1496.778;
16/07/2017;21:45:00;24.7948;0.00292;-0.515;0.0213;1496.169;
16/07/2017;22:00:00;24.7085;0.00292;-0.530;0.0213;1495.937;
16/07/2017;22:15:00;24.6012;0.00291;-0.546;0.0213;1495.647;
16/07/2017;22:30:00;24.5249;0.00291;-0.592;0.0213;1495.439;
16/07/2017;22:45:00;24.4782;0.00290;-0.583;0.0212;1495.313;
16/07/2017;23:00:00;24.4223;0.00290;-0.596;0.0212;1495.161;
16/07/2017;23:15:00;24.3522;0.00290;-0.599;0.0212;1494.970;
16/07/2017;23:30:00;24.3303;0.00289;-0.591;0.0212;1494.910;
16/07/2017;23:45:00;24.1662;0.00288;-0.574;0.0211;1494.463;
17/07/2017;00:00:00;24.0808;0.00286;-0.599;0.0211;1494.228;
17/07/2017;00:15:00;24.0180;0.00286;-0.553;0.0210;1494.056;
17/07/2017;00:30:00;23.9353;0.00284;-0.574;0.0210;1493.828;
17/07/2017;00:45:00;23.8794;0.00283;-0.528;0.0209;1493.675;
17/07/2017;01:00:00;23.8483;0.00283;-0.603;0.0209;1493.588;
17/07/2017;01:15:00;23.8170;0.00282;-0.595;0.0209;1493.502;
17/07/2017;01:30:00;23.7816;0.00281;-0.608;0.0208;1493.403;
17/07/2017;01:45:00;23.7151;0.00280;-0.579;0.0208;1493.220;
17/07/2017;02:00:00;23.7174;0.00280;-0.579;0.0208;1493.226;
17/07/2017;02:15:00;23.6946;0.00279;-0.600;0.0207;1493.162;
17/07/2017;02:30:00;23.6881;0.00279;-0.613;0.0207;1493.144;
17/07/2017;02:45:00;23.6671;0.00278;-0.633;0.0207;1493.085;
17/07/2017;03:00:00;23.6281;0.00277;-0.625;0.0206;1492.977;
17/07/2017;03:15:00;23.6081;0.00276;-0.625;0.0206;1492.922;
17/07/2017;03:30:00;23.5596;0.00275;-0.596;0.0206;1492.787;
17/07/2017;03:45:00;23.5130;0.00275;-0.609;0.0206;1492.657;
17/07/2017;04:00:00;23.4604;0.00274;-0.588;0.0205;1492.511;
17/07/2017;04:15:00;23.4645;0.00274;-0.601;0.0205;1492.522;
17/07/2017;04:30:00;23.4815;0.00274;-0.614;0.0205;1492.569;
17/07/2017;04:45:00;23.5044;0.00273;-0.643;0.0205;1492.632;
17/07/2017;05:00:00;23.5386;0.00273;-0.672;0.0205;1492.727;
17/07/2017;05:15:00;23.6754;0.00274;-0.672;0.0205;1493.107;
17/07/2017;05:30:00;23.6506;0.00273;-0.617;0.0205;1493.040;
17/07/2017;05:45:00;23.6088;0.00273;-0.596;0.0205;1492.924;
17/07/2017;06:00:00;23.5803;0.00272;-0.588;0.0205;1492.845;
17/07/2017;06:15:00;23.6854;0.00273;-0.638;0.0205;1493.136;
17/07/2017;06:30:00;23.6677;0.00272;-0.625;0.0205;1493.087;
17/07/2017;06:44:59;23.8142;0.00273;-0.654;0.0205;1493.492;
17/07/2017;07:00:00;23.7060;0.00272;-0.592;0.0204;1493.194;
17/07/2017;07:15:00;23.5930;0.00271;-0.604;0.0204;1492.879;
17/07/2017;07:30:00;23.8297;0.00272;-0.667;0.0205;1493.535;
17/07/2017;07:45:00;24.2496;0.00274;-0.729;0.0206;1494.687;
17/07/2017;08:00:00;24.5985;0.00277;-0.687;0.0207;1495.636;
17/07/2017;08:15:00;24.7691;0.00278;-0.633;0.0207;1496.097;
17/07/2017;08:45:00;25.5955;0.00282;-0.577;0.0210;1498.296;
17/07/2017;09:00:00;26.4466;0.00286;-0.709;0.0212;1500.504;
17/07/2017;09:15:00;27.5685;0.00289;-0.583;0.0213;1503.337;
17/07/2017;09:30:00;28.4114;0.00292;-0.444;0.0215;1505.405;
17/07/2017;10:00:00;28.4230;0.00293;-0.429;0.0215;1505.434;
17/07/2017;10:15:00;27.9097;0.00293;-0.650;0.0215;1504.178;
17/07/2017;10:30:00;27.7233;0.00291;-0.859;0.0214;1503.715;
17/07/2017;10:45:00;27.9809;0.00292;-1.058;0.0214;1504.346;
17/07/2017;11:00:00;29.2190;0.00295;-1.517;0.0216;1507.318;
17/07/2017;11:15:00;29.0552;0.00299;-1.139;0.0217;1506.937;
17/07/2017;11:30:00;27.7225;0.00292;-0.679;0.0214;1503.716;
17/07/2017;11:45:00;28.5564;0.00297;-0.974;0.0217;1505.746;
17/07/2017;12:00:00;29.3529;0.00305;-1.078;0.0220;1507.642;
17/07/2017;12:15:00;30.0850;0.00309;-1.108;0.0222;1509.346;
17/07/2017;12:30:00;30.2290;0.00309;-0.982;0.0221;1509.678;
17/07/2017;12:45:00;29.0723;0.00305;-0.782;0.0220;1506.984;
17/07/2017;13:00:00;28.9974;0.00305;-0.720;0.0220;1506.807;
17/07/2017;13:15:00;28.9904;0.00307;-0.678;0.0220;1506.791;
17/07/2017;13:30:00;28.9959;0.00309;-0.730;0.0221;1506.803;
17/07/2017;13:45:00;29.0881;0.00311;-0.657;0.0222;1507.024;
17/07/2017;14:00:00;28.7057;0.00311;-0.646;0.0222;1506.112;
17/07/2017;14:15:00;25.8477;0.00301;-0.315;0.0217;1498.962;
17/07/2017;14:30:00;27.3189;0.00308;-0.726;0.0220;1502.713;
17/07/2017;14:45:00;23.7542;5.35365;5.079;36.3422;1532.897;
17/07/2017;15:00:00;16.0939;4.52777;131.466;36.0898;1513.520;
17/07/2017;15:15:00;12.6100;4.14368;433.560;35.6315;1506.808;
17/07/2017;15:30:00;9.7995;3.85890;733.044;35.3719;1501.660;
17/07/2017;15:45:00;7.5102;3.65037;1033.821;35.3123;1498.061;
17/07/2017;16:00:00;5.7017;3.47833;1333.867;35.1151;1495.722;
17/07/2017;16:15:00;4.6885;3.38866;1634.671;34.9977;1496.483;
17/07/2017;16:30:00;4.6180;3.38394;1721.380;34.9755;1497.614;
17/07/2017;16:45:00;4.5906;3.38152;1721.543;34.9759;1497.505;
17/07/2017;17:00:00;4.5677;3.37920;1721.649;34.9730;1497.409;
17/07/2017;17:15:01;4.6049;3.38265;1721.691;34.9741;1497.564;
17/07/2017;17:30:00;4.6378;3.38577;1721.782;34.9758;1497.703;
17/07/2017;17:45:00;4.6393;3.38604;1721.782;34.9774;1497.711;
17/07/2017;18:00:00;4.6394;3.38614;1721.845;34.9784;1497.714;
17/07/2017;18:15:00;4.6261;3.38474;1721.903;34.9760;1497.657;
